rspm,no2,so2,rainfall,humidity,temperature,year,quarter,No of districts,Locations
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2005,1,5,"['HARYANA_FARIDABAD' 'RAJASTHAN_ALWAR' 'RAJASTHAN_JODHPUR'
  'UTTARPRADESH_AGRA' 'UTTARPRADESH_KANPURNAGAR']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2005,4,6,"['CHANDIGARH_CHANDIGARH' 'HARYANA_HISSAR' 'HIMACHALPRADESH_KANGRA'
  'HIMACHALPRADESH_SIRMAUR' 'PUNJAB_RUPNAGAR' 'RAJASTHAN_ALWAR']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2006,1,6,"['CHANDIGARH_CHANDIGARH' 'HARYANA_FARIDABAD' 'HARYANA_HISSAR'
  'HIMACHALPRADESH_KANGRA' 'HIMACHALPRADESH_SIRMAUR' 'RAJASTHAN_ALWAR']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2007,1,8,"['CHANDIGARH_CHANDIGARH' 'HARYANA_HISSAR' 'HIMACHALPRADESH_SIRMAUR'
  'MADHYAPRADESH_GWALIOR' 'RAJASTHAN_ALWAR' 'UTTARPRADESH_AGRA'
  'UTTARPRADESH_KANPURNAGAR' 'UTTARPRADESH_VARANASI']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2007,4,3,['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SIRMAUR' 'HIMACHALPRADESH_SOLAN']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2008,1,7,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SIRMAUR' 'HIMACHALPRADESH_SOLAN'
  'MADHYAPRADESH_GWALIOR' 'PUNJAB_BATHINDA' 'RAJASTHAN_JODHPUR'
  'UTTARPRADESH_VARANASI']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2009,1,4,"['HIMACHALPRADESH_SIRMAUR' 'PUNJAB_BATHINDA' 'RAJASTHAN_ALWAR'
  'UTTARPRADESH_BULANDSHAHR']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2009,4,3,['HIMACHALPRADESH_SIRMAUR' 'PUNJAB_BATHINDA' 'PUNJAB_RUPNAGAR']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2010,1,4,"['HARYANA_FARIDABAD' 'HIMACHALPRADESH_SIRMAUR' 'HIMACHALPRADESH_SOLAN'
  'PUNJAB_PATIALA']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2011,1,5,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SIRMAUR' 'PUNJAB_PATIALA'
  'UTTARAKHAND_NAINITAL' 'UTTARPRADESH_AGRA']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2012,1,4,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SIRMAUR' 'RAJASTHAN_ALWAR'
  'UTTARPRADESH_VARANASI']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2012,4,3,['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_KANGRA' 'PUNJAB_PATIALA']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2013,1,7,"['HIMACHALPRADESH_UNA' 'PUNJAB_BATHINDA' 'PUNJAB_LUDHIANA'
  'PUNJAB_PATIALA' 'UTTARPRADESH_AGRA' 'UTTARPRADESH_JHANSI'
  'UTTARPRADESH_VARANASI']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2013,4,2,['PUNJAB_LUDHIANA' 'PUNJAB_PATIALA']
